Provincia;2014;2015;2016;2017;2018;2019;Total
Esmeralda;94;115;96;127;106;145;683
Manabí;427;567;661;642;617;624;3538
Los Ríos;329;347;403;351;321;355;2106
Guayas;1892;1835;1953;2057;1844;1812;11393
Santa Elena;140;127;138;143;155;160;863
El oro;189;200;225;151;232;235;1232
Carchi;32;39;33;42;42;41;229
Imbabura;75;63;72;116;83;86;495
Pichincha;490;512;526;556;496;478;3058
Santo Domingo;142;124;138;151;123;156;834
Cotopaxi;65;68;68;56;46;71;374
Tungurahua;98;131;105;95;126;120;675
Bolivar;31;34;26;35;44;42;212
Chimborazo;109;86;82;77;76;77;507
Cañar;40;45;52;48;49;81;315
Azuay;123;138;173;123;175;209;941
Loja;90;89;114;83;104;104;584
Sucumbios;23;21;22;21;20;25;132
Napo;7;6;9;7;11;11;51
Orellana;10;8;12;8;19;14;71
Pastaza;10;11;11;15;8;7;62
Morona Santiago;11;19;15;23;22;20;110
Zamora Chinchipe;10;8;7;8;11;13;57
